投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
499270,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5玲珑轮胎有裂痕希望厂家处理,轮胎:开裂 ,2020-07-21,信息审核
499268,广汽丰田,雷凌,2019款 185T CVT 豪华版 国V,广汽丰田雷凌车身与后保险杠明显色差,车身附件及电器:车身有色差 ,2020-07-21,处理反馈
499266,东风本田,哥瑞,2016款 1.5L CVT 经典版,东风本田哥瑞动作器异响 曲轴油封漏油,发动机:异响 变速器:漏油 ,2020-07-21,信息审核
499265,北京现代,名图,2017款 1.8L 自动 智能型 GLS 国V,北京现代名图发动机无法启动一直没有维修好,发动机:无法启动 ,2020-07-21,信息审核
499262,东风启辰,启辰T70,2019款 2.0L CVT 睿享版 国V,启辰T70更换减震器后减震效果差,前后桥及悬挂系统:减震器过硬 ,2020-07-21,信息审核
499260,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3前轮吃胎偏磨存在质量问题,前后桥及悬挂系统:吃胎偏磨 ,2020-07-21,处理反馈
499256,东风本田,本田XR-V,2017款 1.5L LXi CVT 经典版,东风本田XR-V中控位置异响希望尽快处理,车身附件及电器:中控台异响 ,2020-07-21,信息审核
499250,上汽集团,名爵3,2011款 1.3 AMT 舒适版,上汽名爵3正时链条拉长引起发动机跳齿,发动机:正时链条及齿轮故障 ,2020-07-21,厂家受理
499249,东风悦达起亚,焕驰,2019款 1.4L 手动 智享版Value 国V,东风悦达起亚焕驰挂挡困难耐克森轮胎有裂纹,变速器:顿挫 变速器:无法换挡 轮胎:开裂 ,2020-07-21,厂家受理
499246,上汽斯柯达,速派,2016款 TSI330 DSG 创行版,斯柯达速派变速箱故障灯亮无法挂倒挡,变速器:无法换挡 变速器:故障灯亮 ,2020-07-21,信息审核
499243,上汽大众,朗逸,2013款 1.4TSI DSG舒适版,上汽大众朗逸变速箱异响 曲轴油封漏油,发动机:漏油 变速器:异响 ,2020-07-21,信息审核
499241,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙4S店贴膜后玻璃有划痕,人员技术:修出新问题 人员技术:操作不规范 ,2020-07-21,信息审核
499238,东风雪铁龙,雪铁龙C4L,2015款 1.2T 自动 尊贵版,东风雪铁龙C4L更换发动机后增压器失灵,发动机:涡轮增压器故障 人员技术:修出新问题 ,2020-07-21,处理反馈
499236,东风雪铁龙,世嘉,2013款 1.6L 手动 CNG品尚型 三厢,东风雪铁龙世嘉大灯和示宽灯自动亮起,车身附件及电器:灯组开关故障 ,2020-07-21,处理反馈
499235,东风日产,楼兰,2019款 2.5L XL 两驱 智联豪华版 国V,东风日产楼兰赠送保养承诺不兑现,承诺不兑现:销售承诺不兑现 ,2020-07-21,信息审核
499229,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾行驶中变速箱无法加速,变速器:故障灯亮 变速器:无法加速 变速器:滑阀箱故障 ,2020-07-21,处理反馈
499228,广汽丰田,凯美瑞,2008款 240G 2.4 自动 豪华版,广汽丰田凯美瑞中控仪表台出油反光,车身附件及电器:仪表台开裂 ,2020-07-21,处理反馈
499227,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾车身多次漏水要求厂家解决,车身附件及电器:车身漏水 ,2020-07-21,处理反馈
499226,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内存在异味影响身体健康,车身附件及电器:车内异味 ,2020-07-21,信息审核
499225,江淮汽车,瑞风S3,2014款 1.5L 手动 豪华智能型,江淮瑞风S3车身大梁开裂要求厂家给予解决,前后桥及悬挂系统:前后桥断裂 ,2020-07-21,处理反馈
499219,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408固特异轮胎裂痕 漏气,轮胎:开裂 轮胎:胎压偏低 ,2020-07-21,厂家受理
499218,吉利汽车,吉利EC8,2011款 2.0L 自动 标准版,吉利EC8钥匙丢失后4S店无法重新匹配,配件争议:无零配件 ,2020-07-21,处理反馈
499210,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁高速行驶中动力突然消失,发动机:动力消失 ,2020-07-21,处理反馈
499208,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾上坡辅助功能与宣传不符,销售欺诈:与宣传不符 ,2020-07-21,处理反馈
499206,上汽斯柯达,速派,2016款 TSI280  DSG 前行版,斯柯达速派发动机特定转速区间车身抖动	,车身附件及电器:车身共振 ,2020-07-21,信息审核
499204,广汽本田,凌派,2019款 180Turbo CVT 舒适版 国VI,广汽本田凌派发动机故障灯亮要求处理,发动机:故障灯亮 ,2020-07-21,处理反馈
499199,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L发动机烧机油希望尽快解决,发动机:烧机油 ,2020-07-21,处理反馈
499195,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL发动机疑似连杆异响希望尽快处理,发动机:异响 ,2020-07-21,处理反馈
499193,比亚迪,比亚迪S7,2015款 2.0T 升级版 自动 尊贵型,比亚迪S7天窗漏水 变速器脱挡无法加速,变速器:无法加速 变速器:脱挡 车身附件及电器:天窗漏水 ,2020-07-21,厂家受理
499190,长安汽车,长安欧尚A800,2017款 1.6L 手动 豪华型 国V,长安欧尚A800经销商救援收费不标准,服务收费:价格不透明 ,2020-07-21,信息审核
499184,东风小康,风光370,2016款 1.5L 精英居家版 7座,东风风光370自费配件保修时间与宣传不一致,承诺不兑现:服务承诺不兑现 销售欺诈:与宣传不符 ,2020-07-21,处理反馈
499177,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL-i智辉版,一汽丰田卡罗拉车身漆面有二次处理现象,销售欺诈:出售问题车 ,2020-07-21,信息审核
499175,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领锐版,奇瑞艾瑞泽5刹车背板生锈 刹车片偏磨,制动系统:异常磨损 车身附件及电器:车身生锈 ,2020-07-21,处理反馈
499172,广汽本田,雅阁,2018款 230TURBO 舒适版 国VI,广汽本田雅阁发动机缸体渗油要求尽快解决,发动机:漏油 ,2020-07-21,处理反馈
499171,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700车漆鼓包 大灯进水 装饰开裂,车身附件及电器:漆面起泡开裂 车身附件及电器:部件开裂 车身附件及电器:车灯进水 ,2020-07-21,信息审核
499166,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动发动机烧机油一直未解决,发动机:烧机油 ,2020-07-21,信息审核
499164,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响,变速器:异响 ,2020-07-21,处理反馈
499163,众泰汽车,云100,2014款 云100 舒适型,众泰云100动力电池故障无配件4S店不处理,车身附件及电器:动力电池故障 服务态度:不解决问题 服务态度:互相推诿 配件争议:无零配件 ,2020-07-21,信息审核
499161,广汽乘用车,传祺GM6,2019款 270T 自动 尊荣版（七座）国VI,广汽传祺GM6车身色差严重要求解决,车身附件及电器:车身有色差 ,2020-07-21,处理反馈
499152,吉利汽车,吉利SC6,2012款 1.5L 精英型,吉利SC6车身锈蚀严重希望得到处理,车身附件及电器:车身生锈 ,2020-07-21,处理反馈
499148,雷克萨斯,雷克萨斯ES,2018款 200 卓越版 国VI,雷克萨斯ES变速箱顿挫 空调出风口异响,变速器:顿挫 车身附件及电器:空调问题 ,2020-07-21,厂家受理
499147,上汽通用五菱,五菱宏光,2015款 1.5L 基本型 S 国V,上汽通用五菱宏光随车工具千斤顶无法使用	,配件争议:配件质量差 ,2020-07-21,信息审核
499146,广汽本田,飞度,2014款 1.5 CVT EXLI领先型,广汽本田飞度发动机冷启动VTC执行器异响,发动机:异响 其他:疑似设计缺陷 ,2020-07-21,处理反馈
499137,上汽斯柯达,明锐,2015款 1.6L 手动 逸杰版,斯柯达明锐车内异味更换隔音棉后异味加重	,车身附件及电器:车内异味 ,2020-07-21,信息审核
499135,奥迪（进口）,奥迪A7,2017款 40 TFSI 进取型,进口奥迪A7低速变速箱异响厂家不解决,变速器:异响 服务态度:不解决问题 人员技术:多次返修 人员技术:修出新问题 ,2020-07-21,信息审核
499133,华晨中华,中华V7,2018款 280T DCT 豪华型 5座,中华V7中控屏触控功能失灵无法正常使用,车身附件及电器:影音系统故障 ,2020-07-21,信息审核
499130,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎有裂痕希望厂家处理,轮胎:开裂 ,2020-07-21,处理反馈
499128,吉利汽车,远景,2016款 1.5L 自动 幸福版,吉利远景高速行驶时动力突然消失,变速器:无法加速 ,2020-07-21,处理反馈
499126,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾变速箱故障机电单元损坏,变速器:滑阀箱故障 ,2020-07-21,处理反馈
499125,华晨宝马,宝马1系,2020款 120i 时尚型,华晨宝马1系行驶中发动机和ABS故障灯亮,发动机:故障灯亮 制动系统:ABS故障 ,2020-07-21,信息审核
499123,东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德车内异味开空调发动机抖动,发动机:抖动 车身附件及电器:车内异味 车身附件及电器:车内异响 服务态度:不解决问题 ,2020-07-21,厂家受理
499122,东风标致,标致3008,2013款 1.6T 自动 THP潮流版,东风标致3008发动机烧机油希望厂家处理,发动机:烧机油 ,2020-07-21,信息审核
499120,广汽菲克菲亚特,菲翔,2015款 1.4T 自动 劲享版,广汽菲亚特菲翔变速箱漏油存在质量问题,变速器:漏油 ,2020-07-21,厂家受理
499119,华晨宝马,宝马5系,2020款 525Li M运动套装,华晨宝马5系车机系统与厂家宣传不符,销售欺诈:与宣传不符 ,2020-07-21,信息审核
499117,北京现代,名图,2017款 1.8L 自动 智能型 GLS 国V,北京现代名图降挡时变速箱顿挫维修后未解决,变速器:顿挫 ,2020-07-21,信息审核
499113,一汽-大众奥迪,奥迪A3,2016款 Sportback 1.4T 双离合 进取型,一汽大众奥迪A3中控屏突然无法弹出,车身附件及电器:影音系统故障 ,2020-07-21,信息审核
499109,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁球笼套漏油更换后没有解决,前后桥及悬挂系统:球笼套漏油 ,2020-07-21,处理反馈
499108,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之巅版,众泰SR9续保押金不退希望尽快处理,车身附件及电器:车身生锈 服务收费:定（订）金纠纷 ,2020-07-21,厂家受理
499107,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 风尚版 国V,东风本田CR-V汽油泵故障行驶中突然熄火,车身附件及电器:汽油泵故障 ,2020-07-21,处理反馈
499106,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙仪表上提示格栅隔板故障,发动机:故障灯亮 ,2020-07-21,信息审核
499104,一汽-大众奥迪,奥迪Q5L,2018款 40 TFSI 荣享时尚型 国V,一汽大众奥迪Q5L网关电脑不防水有安全隐患,其他:疑似设计缺陷 ,2020-07-21,信息审核
499102,一汽-大众奥迪,奥迪Q5L,2018款 45 TFSI 尊享时尚型 国V,一汽大众奥迪Q5L影音异响 行人保护故障,车身附件及电器:影音系统故障 车身附件及电器:安全带故障 ,2020-07-21,信息审核
499091,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎开裂影响安全,轮胎:开裂 ,2020-07-21,信息审核
499084,奇瑞新能源,奇瑞eQ1,2019款 小蚂蚁 智享版 4座 30.6kWh,奇瑞eQ1高压系统切断无法启动制动故障灯亮,发动机:电驱动控制器故障 制动系统:故障灯亮 ,2020-07-21,厂家受理
499082,江淮汽车,瑞风S4,2020款 1.5T CVT 超越型,江淮瑞风S4发动机噪音大希望处理,发动机:噪音大 ,2020-07-21,处理反馈
499080,上汽通用五菱,宝骏310W,2017款 1.5L 手动 时尚型 国V,宝骏310W锦湖轮胎脱皮存在质量问题	,轮胎:开裂 ,2020-07-21,厂家受理
499077,江淮汽车,瑞风S3,2014款 1.5L 手动 豪华智能型,江淮瑞风S3主驾驶下大梁开裂影响安全,车身附件及电器:部件开裂 ,2020-07-21,处理反馈
499075,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L发动机异响厂家一直未解决	,发动机:异响 服务态度:不解决问题 ,2020-07-21,信息审核
499074,一汽-大众,CC,2013款 1.8TSI 尊贵型,一汽大众CC行驶过程中发动机气门弹簧断裂,发动机:故障灯亮 发动机:气门故障 ,2020-07-21,处理反馈
499073,北汽银翔,幻速S6,2017款 1.5T 手动 智能型,北汽幻速S6发动机噪音大后视镜漆面变色,发动机:噪音大 车身附件及电器:车身有色差 车身附件及电器:后视镜故障 ,2020-07-21,信息审核
499071,上汽大众,朗逸,2018款 1.5L 自动 风尚版 经典 国VI,上汽大众朗逸油箱异响密封条多处开裂,车身附件及电器:密封条损坏 车身附件及电器:汽油箱异响 服务态度:不解决问题 ,2020-07-21,信息审核
499070,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商违规收取续保押金,服务收费:变相收费 ,2020-07-21,处理反馈
499067,东南汽车,东南DX3,2018款 1.5L 手动 豪华型,东南DX3发动机盖生锈 行驶时全车断电	,车身附件及电器:车身生锈 ,2020-07-21,信息审核
499066,一汽-大众奥迪,奥迪A4L,2018款 2.0T 进取型 30周年年型,一汽大众奥迪A4L变速箱异响严重,变速器:异响 车身附件及电器:中控台异响 ,2020-07-21,信息审核
499065,上汽通用五菱,五菱宏光,2018款 1.2L S 基本型 经典款,上汽通用五菱宏光车身生锈故障灯亮 ,发动机:故障灯亮 发动机:动力消失 车身附件及电器:车身生锈 ,2020-07-21,信息审核
499060,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜空调压缩机频繁启停 中控异响,车身附件及电器:空调问题 车身附件及电器:中控台异响 ,2020-07-21,信息审核
499058,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国V,一汽大众探岳前大灯发白亮度不够要求解决,车身附件及电器:车灯不亮 ,2020-07-21,处理反馈
499056,东风日产,楼兰,2017款 2.5L XL 两驱 智尚版,东风日产楼兰刹车异响4S店查不出原因,制动系统:异响 人员技术:查不出原因 ,2020-07-21,处理反馈
499055,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408左前固特异轮胎起包,轮胎:鼓包 ,2020-07-21,处理反馈
499054,东风本田,本田XR-V,2015款 1.8L EXi CVT 舒适版,东风本田XR-V启动后发动机异响,发动机:异响 ,2020-07-21,用户评分
499051,东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净驰版 国VI,东风本田CR-V行驶中ACC及CMBS故障,车身附件及电器:行车安全辅助系统故障 ,2020-07-21,处理反馈
499045,一汽-大众,速腾,2018款 280TSI 双离合 豪华型,一汽大众速腾真皮方向盘脱皮4S店不予索赔,车身附件及电器:部件开裂 服务态度:不予索赔 ,2020-07-21,处理反馈
499044,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度低夜间行驶有安全隐患,车身附件及电器:车灯不亮 ,2020-07-21,处理反馈
499039,东风悦达起亚,起亚K3,2015款 1.6L 手动 GLS,东风悦达起亚K3日间行车灯灯罩变成黄色,车身附件及电器:灯罩裂纹或变形 ,2020-07-21,信息审核
499038,吉利汽车,帝豪,2016款 1.5L 手动 向上版 三厢,吉利帝豪离合器踏板处部件掉落无法行驶,离合器:离合器失效 ,2020-07-21,处理反馈
499035,吉利汽车,远景S1,2018款 1.4T CVT 锋睿型,吉利远景S1低速起步时变速箱顿挫严重,变速器:顿挫 ,2020-07-21,处理反馈
499024,东风英菲尼迪,英菲尼迪Q50L,2016款 2.0T 舒适版,东风英菲尼迪Q50L轮毂氧化存在质量问题,轮胎:开裂 车身附件及电器:轮毂问题 ,2020-07-21,信息审核
499009,一汽-大众奥迪,奥迪A6L,2017款 45 TFSI 双离合 quattro 运动型,一汽大众奥迪A6L高速刹车抖动要求解决,制动系统:抖动 ,2020-07-21,信息审核
499008,上汽大众,途观L新能源,2019款 430PHEV 混动旗舰版,上汽大众途观L新能源变速箱异响严重,变速器:异响 ,2020-07-21,处理反馈
499005,上汽大众,凌渡,2015款 330TSI DSG 豪华版,上汽大众凌渡隔音棉导致车内异味严重,车身附件及电器:车内异味 ,2020-07-20,处理反馈
499004,领克汽车,领克03,2019款 03+ 2.0TD 自动 驭风版,领克03安全带内部异响 主驾驶雨刮器跳动,车身附件及电器:雨刮器故障 车身附件及电器:安全带故障 ,2020-07-20,处理反馈
498995,上汽大通,上汽MAXUS T60,2020款 2.0T 柴油 自动 四驱 高底盘 先锋版 长厢 国VI,上汽MAXUS T60制动失灵影响行车安全,制动系统:刹车失灵 ,2020-07-20,厂家受理
498993,长安汽车,长安欧尚X7,2020款 1.5T 自动 精英型,长安欧尚X7变速箱异响 动力传输中断,变速器:异响 变速器:无法加速 前后桥及悬挂系统:悬挂故障 ,2020-07-20,处理反馈
498988,华晨宝马,宝马1系,2019款 118i M运动套装,华晨宝马1系韩泰轮胎爆胎要求厂家解决,轮胎:爆胎 ,2020-07-20,信息审核
498985,广汽丰田,雷凌,2019款 185T CVT 运动版 国VI,广汽丰田雷凌低速踩油门时变速箱有异响,变速器:异响 转向系统:异响 ,2020-07-20,处理反馈
498982,上汽通用五菱,五菱宏光,2015款 1.5L 舒适型 S1,上汽通用五菱宏光OBD问题导致年检无法通过,车身附件及电器:车身模块故障 ,2020-07-20,信息审核
498979,东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁行车记录仪记录的视频无法播放,车身附件及电器:行车安全辅助系统故障 ,2020-07-20,处理反馈
498976,东风标致,标致408,2011款 2.0 自动 舒适版,东风标致408车顶棚布突然脱落影响驾驶,车身附件及电器:部件开裂 ,2020-07-20,处理反馈
498974,奇瑞汽车,艾瑞泽5,2019款 1.5L 手动 新青春版 国V,奇瑞艾瑞泽5转弯时打方向不回正,前后桥及悬挂系统:四轮定位偏差 ,2020-07-20,处理反馈
498972,奔驰（进口）,奔驰A级（进口）,2015款 1.6T  双离合  180,进口奔驰A级行驶中ABS报警转向助力沉重,变速器:无法加速 转向系统:打方向沉重 制动系统:ABS故障 ,2020-07-20,信息审核
498971,一汽-大众,速腾,2017款 1.6L 手动 舒适型,一汽大众速腾变速箱异响 左右半轴漏油,变速器:异响 前后桥及悬挂系统:半轴渗油 服务态度:不解决问题 人员技术:修出新问题 服务流程不完善:手续不齐 服务流程不完善:无维修工单 ,2020-07-20,处理反馈
498970,一汽-大众奥迪,奥迪Q3,2020款 35 TFSI 进取动感型,一汽大众奥迪Q3新车后备箱螺丝生锈严重,车身附件及电器:车身生锈 销售欺诈:出售问题车 ,2020-07-20,信息审核
498969,一汽-大众奥迪,奥迪A6L,2018款 35 TFSI 双离合 运动型,一汽大众奥迪A6L经销商强制购买保险,服务态度:态度蛮横 服务收费:定（订）金纠纷 服务收费:强制购买 ,2020-07-20,信息审核
498967,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁行驶中中控异响油箱异响,车身附件及电器:中控台异响 车身附件及电器:车身异响 车身附件及电器:车载互联故障 车身附件及电器:汽油箱异响 销售欺诈:与宣传不符 ,2020-07-20,处理反馈
498964,上汽通用五菱,新宝骏RS-3,2020款 1.5L CVT 24小时在线豪华型,新宝骏RS-3加速变速箱顿挫不平稳 刹车变软,变速器:顿挫 制动系统:刹车偏软 ,2020-07-20,信息审核
498957,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速箱脱挡异响要求延保,变速器:异响 变速器:脱挡 ,2020-07-20,信息审核
498956,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑转向异响无解决方案,转向系统:异响 ,2020-07-20,信息审核
498953,长城汽车,风骏5,2017款 2.0T 两驱 欧洲版 柴油 精英型 大双排 GW4D20D,长城风骏5发动机烧机油一直未解决,发动机:烧机油 ,2020-07-20,处理反馈
498949,上汽大众,朗逸,2018款 280TSI DSG 豪华版 国V,上汽大众朗逸变速箱异响高速突然降挡,变速器:异响 变速器:跳挡 ,2020-07-20,处理反馈
498948,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放机油增多前保险杠车漆泛白,发动机:机油增多 车身附件及电器:车身有色差 ,2020-07-20,信息审核
498947,东风标致,标致4008,2018款 350THP 精英版,东风标致4008转向异响 过减速带有打铁声音,转向系统:异响 前后桥及悬挂系统:减震器异响 ,2020-07-20,用户评分
498944,猎豹汽车,猎豹CS9,2017款 1.5L CVT 舒适型,猎豹CS9行驶中车轮异响多次维修未解决,前后桥及悬挂系统:车轮异响 ,2020-07-20,信息审核
498940,猎豹汽车,猎豹CS9,2018款 1.5T CVT 劲锐型,猎豹CS9打方向异响左侧车窗异响,转向系统:异响 ,2020-07-20,信息审核
498939,猎豹汽车,猎豹CS9,2018款 1.5T CVT 劲锐型,猎豹CS9转向无助力 车身漏电 刹车片异响,转向系统:助力泵故障 制动系统:异响 车身附件及电器:电路故障 ,2020-07-20,信息审核
498937,北京现代,领动,2020款 1.5L CVT 智炫·精英型,北京现代领动新车耐克森轮胎鼓包,轮胎:鼓包 ,2020-07-20,处理反馈
498935,华晨中华,中华H230EV,2017款 豪华型,华晨中华H230EV电机控制总成故障无法启动,发动机:电驱动控制器故障 ,2020-07-20,信息审核
498926,吉利汽车,帝豪,2018款 1.5L 手动 豪华型,吉利帝豪车身以及发动机舱多处生锈,车身附件及电器:车身生锈 ,2020-07-20,处理反馈
498921,东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净速版 国VI,东风本田CR-V经销商不退还购车订金,服务收费:定（订）金纠纷 ,2020-07-20,处理反馈
498919,东风本田,本田XR-V,2015款 1.5L LXi CVT经典版,东风本田XR-V发动机异响希望厂家处理,发动机:异响 ,2020-07-20,处理反馈
498918,东风本田,本田XR-V,2015款 1.5L LXi CVT经典版,东风本田XR-V冷车启动时发动机异响,发动机:异响 ,2020-07-20,处理反馈
498917,东风标致,标致4008,2017款 350THP 精英版,东风标致4008发动机和空调异响严重,发动机:异响 车身附件及电器:空调问题 ,2020-07-20,处理反馈
498915,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜召回后发动机噪音大油耗高,发动机:噪音大 发动机:油耗高 其他:召回方案不合理 ,2020-07-20,信息审核
498913,广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智车身抖动变速箱异响严重,变速器:异响 变速器:抖动 车身附件及电器:车身共振 ,2020-07-20,信息审核
498912,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,制动系统:异响 ,2020-07-20,信息审核
498911,长安汽车,奔奔EV,2018款 EV260 时尚型,长安奔奔EV后刹车雨天时抱死有异响,制动系统:异响 制动系统:刹车失灵 ,2020-07-20,信息审核
498908,比亚迪,速锐,2012款 1.5TI 手动 豪华型,比亚迪速锐OBD升级售后收费不合理,服务收费:变相收费 ,2020-07-20,厂家受理
498907,广汽丰田,汉兰达,2018款 2.0T 四驱 尊贵版 7座 国VI,广汽丰田汉兰达低速行驶明显顿挫异响,变速器:异响 变速器:顿挫 ,2020-07-20,处理反馈
